Date,Temperature Max,Temperature Avg,Temperature Min,Dew Point Max,Dew Point Avg,Dew Point Min,Humidity Max,Humidity Avg,Humidity Min,Wind Speed Max,Wind Speed Avg,Wind Speed Min,Pressure Max,Pressure Avg,Pressure Min,Total Precipitation Inches
1,94,74.0,59,60,54.5,43,90,55.5,19,12,4.3,0,29.9,29.8,29.8,0.00
2,95,77.8,65,53,45.3,39,56,33.5,15,13,6.3,0,29.9,29.8,29.8,0.00
3,89,75.8,67,59,47.3,35,65,39.6,18,12,7.0,0,29.9,29.8,29.8,0.00
4,80,67.4,63,65,59.6,46,100,78.9,35,14,6.5,0,29.9,29.9,29.8,0.00
5,71,65.8,63,63,62.0,60,97,87.7,73,14,5.3,0,29.9,29.9,29.8,0.00
6,70,63.4,57,63,60.5,57,100,90.9,71,13,5.1,0,29.9,29.8,29.8,0.00
7,71,66.0,63,63,59.4,56,100,79.7,59,13,6.5,0,29.9,29.9,29.8,0.00
8,71,64.1,58,58,56.1,53,97,76.5,53,14,6.9,0,29.9,29.8,29.8,0.00
9,70,63.2,56,59,56.1,52,89,78.0,61,16,7.3,0,29.8,29.7,29.7,0.00
10,64,60.9,56,59,56.3,52,97,85.4,72,23,7.9,0,29.7,29.6,29.5,0.00
11,64,60.0,55,55,52.2,50,97,76.7,63,9,4.8,0,29.6,29.6,29.6,0.00
12,68,63.0,59,52,49.5,45,78,62.1,45,21,8.7,0,29.7,29.6,29.6,0.00
13,60,57.3,55,56,53.7,50,100,88.3,72,13,7.9,0,29.7,29.7,29.6,0.00
14,66,58.6,50,53,50.5,48,100,75.8,56,21,7.9,0,29.9,29.9,29.8,0.00
15,67,58.7,51,55,51.2,47,90,77.0,54,12,6.1,0,30.1,30.0,29.9,0.00
16,68,59.7,52,55,51.2,48,93,74.5,55,17,7.2,0,30.1,30.1,30.0,0.00
17,67,59.8,51,56,49.6,45,83,69.9,52,12,6.2,0,30.1,30.0,30.0,0.00
18,73,62.5,51,57,47.5,37,87,61.0,27,15,7.0,0,30.0,30.0,30.0,0.00
19,67,61.5,54,63,55.9,47,100,82.9,56,15,6.4,0,30.1,30.0,30.0,0.00
20,68,62.3,58,63,57.1,53,100,84.1,59,17,6.0,0,30.0,29.9,29.9,0.00
21,72,63.4,55,59,51.8,45,93,68.0,38,13,5.1,0,29.9,29.8,29.8,0.00
22,81,67.0,57,59,48.4,38,87,55.9,21,12,5.7,0,29.8,29.8,29.8,0.00
23,73,62.8,54,62,51.7,42,96,68.7,44,13,6.5,0,29.9,29.9,29.8,0.00
24,66,61.1,54,60,54.4,48,93,79.3,54,13,5.5,0,30.0,29.9,29.9,0.00
25,69,62.2,57,60,55.0,50,97,78.7,51,9,4.7,0,30.0,29.8,29.7,0.00
26,64,58.8,53,61,54.5,48,100,86.7,64,32,15.7,0,29.7,29.6,29.6,0.00
27,62,55.5,49,52,48.7,46,100,79.2,58,8,3.7,0,29.9,29.8,29.7,0.00
28,65,56.6,48,54,49.1,44,90,77.2,54,9,5.0,0,29.9,29.9,29.8,0.00
29,64,57.4,50,54,50.2,46,96,77.6,63,9,5.5,0,29.9,29.9,29.8,0.00
30,59,56.3,53,55,53.1,51,96,89.0,81,15,6.4,0,29.8,29.7,29.6,0.00
