"Date","Temperature Max","Temperature Avg","Temperature Min","Dew Point Max","Dew Point Avg","Dew Point Min","Humidity Max","Humidity Avg","Humidity Min","Wind Speed Max","Wind Speed Avg","Wind Speed Min","Pressure Max","Pressure Avg","Pressure Min","Total Precipitation Inches"
"1952-3-1","55","52.5","49","52","42.4","34","96","70.1","51","37","21.0","0","29.6","29.5","29.5","0.00"
"1952-3-2","59","52.0","44","44","29.2","0","71","48.0","30","20","10.5","3","29.9","29.7","29.5","0.00"
"1952-3-3","60","51.5","42","45","33.2","0","80","58.9","41","13","6.8","2","30.0","29.9","29.9","0.00"
"1952-3-4","59","52.5","48","48","45.3","40","96","77.7","53","13","7.2","2","29.9","29.9","29.9","0.00"
"1952-3-5","60","52.6","46","47","45.3","41","93","77.6","49","13","5.5","2","30.0","29.9","29.9","0.00"
"1952-3-6","59","51.8","45","48","43.7","38","93","75.3","53","20","8.1","0","29.9","29.9","29.8","0.00"
"1952-3-7","55","50.7","44","50","46.0","39","96","84.2","62","26","11.0","1","29.8","29.7","29.7","0.00"
"1952-3-8","56","48.5","43","41","38.4","37","86","69.0","55","14","6.0","2","29.7","29.7","29.6","0.00"
"1952-3-9","59","50.6","39","48","40.5","36","89","70.3","42","14","5.5","2","29.8","29.7","29.7","0.00"
"1952-3-10","55","52.0","50","51","46.6","40","93","82.1","66","25","10.8","3","29.8","29.7","29.7","0.00"
"1952-3-11","59","51.7","43","43","38.7","35","82","62.0","44","26","13.6","3","29.9","29.8","29.6","0.00"
"1952-3-12","57","50.7","42","49","40.1","33","86","67.9","49","18","10.0","2","30.0","29.9","29.9","0.00"
"1952-3-13","55","49.4","44","41","38.5","36","82","66.5","53","16","8.4","0","29.9","29.8","29.8","0.00"
"1952-3-14","55","50.1","45","45","42.4","39","90","75.5","57","18","10.3","2","29.9","29.9","29.8","0.00"
"1952-3-15","54","50.1","49","52","48.3","46","97","93.9","86","30","14.9","8","29.9","29.7","29.6","0.00"
"1952-3-16","53","47.7","43","45","42.1","40","96","81.8","64","10","5.2","0","29.7","29.7","29.6","0.00"
"1952-3-17","60","50.4","39","49","42.5","37","96","76.4","46","12","5.9","0","30.0","29.9","29.7","0.00"
"1952-3-18","58","52.1","47","48","46.0","44","97","80.7","64","17","8.1","0","30.1","30.0","30.0","0.00"
"1952-3-19","60","53.8","49","52","47.4","41","100","80.8","49","22","11.6","0","30.0","30.0","29.9","0.00"
"1952-3-20","61","52.5","46","44","29.1","0","90","46.0","28","29","18.7","3","30.0","29.9","29.9","0.00"
"1952-3-21","64","54.7","47","28","18.0","0","48","26.6","12","21","11.2","1","30.1","30.0","30.0","0.00"
"1952-3-22","63","53.6","42","31","19.8","0","65","32.3","9","15","6.5","1","30.2","30.1","30.1","0.00"
"1952-3-23","67","54.6","45","47","29.5","8","86","44.4","10","15","6.9","2","30.2","30.1","30.1","0.00"
"1952-3-24","63","54.4","45","51","44.4","37","90","69.8","52","12","4.6","0","30.0","29.9","29.8","0.00"
"1952-3-25","69","59.3","49","51","48.1","42","93","68.9","42","12","5.2","0","29.9","29.9","29.8","0.00"
"1952-3-26","74","61.0","53","55","51.0","48","97","72.3","40","10","5.8","2","29.9","29.8","29.8","0.00"
"1952-3-27","86","64.1","51","52","46.3","27","100","62.0","12","12","5.0","0","29.8","29.8","29.7","0.00"
"1952-3-28","80","64.0","56","52","34.5","0","87","48.3","15","14","6.8","1","29.8","29.7","29.6","0.00"
"1952-3-29","61","55.1","50","51","50.1","49","100","83.9","69","12","4.3","0","29.8","29.8","29.7","0.00"
"1952-3-30","62","57.5","55","52","48.9","47","87","73.3","60","12","6.5","3","29.9","29.9","29.8","0.00"
"1952-3-31","63","57.3","54","51","49.0","46","86","74.3","56","14","6.5","1","30.0","29.9","29.9","0.00"
